,year,value
0,1990,0.839
1,1995,0.869
2,2000,0.845
3,2005,0.862
4,2010,0.892
5,2011,0.897
6,2012,0.898
7,2013,0.891
8,2014,0.892
9,2015,0.893
10,2016,0.896
11,2017,0.899
12,2018,0.899
13,2019,0.9
