numdate,polarity,snp
2021-01-04,0.0993987,0.26000213623046875
2021-01-05,0.1180213,1.0
2021-01-06,0.10894489999999997,0.8899993896484375
2021-01-07,0.1187359,0.779998779296875
2021-01-08,0.108152,0.69000244140625
2021-01-11,0.1264109,-0.21000289916992188
2021-01-12,0.0989534,1.2800025939941406
2021-01-13,0.12905319999999998,1.2000007629394531
2021-01-14,0.1106341,0.7199974060058594
2021-01-15,0.1102854,-0.4699974060058594
2021-01-19,0.1253107,1.9899978637695312
2021-01-20,0.1206236,0.279998779296875
2021-01-21,0.1104857,0.23000335693359375
2021-01-22,0.1136803,-1.7700004577636719
2021-01-25,0.124402,-1.5
2021-01-26,0.1073812,-0.8500022888183594
2021-01-27,0.0732335,-0.6899986267089844
2021-01-28,0.0739362,0.31999969482421875
2021-01-29,0.1037792,-1.3300018310546875
2021-02-01,0.0896762,0.6300010681152344
2021-02-02,0.10247449999999997,0.5499992370605469
2021-02-03,0.1076842,0.3400001525878906
2021-02-04,0.1134682,-0.18999862670898438
2021-02-08,0.1153639,-0.13000106811523438
2021-02-09,0.1174834,0.4099998474121094
2021-02-10,0.1356114,-0.30999755859375
2021-02-11,0.1066018,-0.4200019836425781
2021-02-12,0.1038315,0.3899993896484375
2021-02-16,0.13246329999999998,3.3800010681152344
2021-02-17,0.1123854,3.0900001525878906
2021-02-18,0.1072706,-0.4399986267089844
2021-02-19,0.103825,-1.1300010681152344
2021-02-22,0.1261998,2.3400001525878906
2021-02-23,0.11188030000000003,1.8899993896484375
2021-02-24,0.1063052,-0.7399978637695312
2021-02-25,0.1139806,-0.37000274658203125
2021-02-26,0.0954989,-2.0999984741210938
2021-03-02,0.1228956,-1.1399993896484375
2021-03-03,0.0915117,1.8199996948242188
2021-03-04,0.096897,0.2800025939941406
2021-03-05,0.112249,1.3199996948242188
2021-03-08,0.0988012,0.20999908447265625
2021-03-09,0.0888758,-1.0600013732910156
2021-03-10,0.0959706,-0.6800003051757812
2021-03-11,0.1084197,0.410003662109375
2021-03-12,0.1122147,0.009998321533203125
2021-03-15,0.1171585,1.5600013732910156
2021-03-16,0.1151786,-0.3000030517578125
2021-03-17,0.1107948,-0.9399986267089844
2021-03-29,0.1202528,0.6799964904785156
2021-03-30,0.1036101,-0.26999664306640625
2021-03-31,0.1050719,-0.7600021362304688
2021-04-01,0.1011427,0.9900016784667969
2021-04-05,0.13481629999999994,-0.8800010681152344
2021-04-06,0.1323589,0.07999801635742188
2021-04-07,0.0863081,-0.48999786376953125
2021-04-08,0.107292,0.23999786376953125
2021-04-09,0.1266761,-0.8699989318847656
2021-04-14,0.1023266,1.2099990844726562
2021-04-15,0.1251014,-0.720001220703125
2021-04-16,0.1281341,0.5900001525878906
2021-04-19,0.12994160000000002,0.17000198364257812
2021-04-20,0.113675,-1.5499992370605469
2021-04-21,0.0649851,-1.8600006103515625
2021-04-22,0.1116607,-0.3899993896484375
2021-04-23,0.0827845,-0.2700004577636719
2021-04-26,0.08010239999999999,0.07999801635742188
2021-04-27,0.1162167,-0.029998779296875
2021-04-28,0.13115829999999998,0.3800010681152344
2021-04-29,0.10415710000000003,0.06999969482421875
2021-04-30,0.1351032,-2.1200027465820312
2021-05-03,0.1326891,1.6200027465820312
2021-05-04,0.0905712,0.8899993896484375
2021-05-05,0.12984790000000002,1.0999984741210938
2021-05-06,0.0933738,-0.07999801635742188
2021-05-07,0.08718250000000001,0.9399986267089844
2021-05-10,0.0973203,0.40000152587890625
2021-05-11,0.099365,-1.220001220703125
2021-05-12,0.121683,0.029998779296875
2021-05-13,0.1120367,-0.6599998474121094
2021-05-14,0.0966402,0.4500007629394531
2021-05-17,0.1312266,0.24000167846679688
2021-05-18,0.1021277,1.0999984741210938
2021-05-19,0.1173107,-0.220001220703125
2021-05-20,0.1198131,-1.1699981689453125
2021-05-21,0.0881467,0.06999969482421875
2021-05-24,0.0954607,0.4199981689453125
2021-05-25,0.1525852,-0.1699981689453125
2021-05-26,0.13406510000000002,0.1100006103515625
2021-05-27,0.1206885,0.5999984741210938
2021-05-28,0.0808436,0.3600006103515625
2021-06-01,0.1402109,0.8800010681152344
2021-06-02,0.1035597,0.55999755859375
2021-06-03,0.0735692,-0.5799980163574219
2021-06-04,0.0770155,0.7399978637695312
2021-06-07,0.0924154,-0.5199966430664062
2021-06-08,0.112568,-2.140003204345703
2021-06-09,0.1148875,0.21000289916992188
2021-06-10,0.12647080000000002,0.15999984741210938
2021-06-11,0.10887639999999997,0.55999755859375
2021-06-14,0.1218331,0.6300010681152344
2021-06-15,0.1100812,-0.5499992370605469
2021-06-16,0.1363053,-0.4900016784667969
2021-06-17,0.0974624,-0.7599983215332031
2021-06-18,0.1082864,-2.0400009155273438
2021-06-21,0.1148071,0.779998779296875
2021-06-22,0.1169228,0.8900032043457031
2021-06-23,0.0937174,0.15999984741210938
2021-06-24,0.1182479,0.8299980163574219
2021-06-25,0.119038,-0.09000015258789062
2021-06-28,0.11893339999999998,-0.6399993896484375
2021-06-29,0.0875701,-1.5699996948242188
2021-06-30,0.1046036,-0.01000213623046875
2021-07-01,0.1096815,1.0600013732910156
2021-07-02,0.08783289999999999,-0.8400001525878906
2021-07-06,0.0963212,-1.8600006103515625
2021-07-07,0.1191339,-0.37999725341796875
2021-07-08,0.1091104,-1.1400032043457031
2021-07-09,0.12775530000000002,0.220001220703125
2021-07-12,0.1360164,-0.9199981689453125
2021-07-13,0.101689,1.05999755859375
2021-07-14,0.1060961,-0.20999908447265625
2021-07-15,0.0992858,0.09000015258789062
