TIME,Value,index
1970,23.646949,41.437994925933126
1971,25.191936,44.145370133898965
1972,26.678707,46.750729884707596
1973,27.153848999999997,47.58335026990392
1974,26.962457,47.24796236320762
1975,26.744929,46.86677474529343
1976,27.930369,48.94409375608836
1977,28.895351,50.63509073077701
1978,30.275363,53.05337015674976
1979,31.222817,54.71365174506607
1980,31.537425,55.264958584170685
1981,33.419078000000006,58.56229421365791
1982,34.408328000000004,60.29581748892184
1983,36.228799,63.48594015805807
1984,35.892383,62.89641782682614
1985,36.305071999999996,63.61959800064002
1986,37.255577,65.28522604284852
1987,38.631631,67.69656962335905
1988,38.570571,67.58957045106932
1989,38.730214000000004,67.86932264336953
1990,39.146778999999995,68.5992949690307
1991,39.942504,69.99369255124893
1992,41.846252,73.32974660051573
1993,43.37788,76.01371201577572
1994,44.440523,77.87584633348743
1995,45.062549,78.96586053497272
1996,45.728387,80.13264918349958
1997,47.129354,82.58764933753213
1998,48.246228,84.54481595318757
1999,49.286009,86.36688779011172
2000,50.994353000000004,89.36052345971748
2001,51.457704,90.17248175450324
2002,52.788493,92.50450470721006
2003,54.165884,94.91819119458846
2004,54.838747,96.09729018024821
2005,55.277145999999995,96.86552355942682
2006,56.438924,98.90137820050803
2007,57.065862,100.0
2008,57.043284,99.96043518978124
2009,55.836707,97.8460765211958
2010,57.224895999999994,100.27868500435513
2011,57.462167,100.69446948860599
2012,57.075995999999996,100.01775842797223
2013,57.369742,100.5325075086047
2014,57.420731,100.62185865167514
2015,58.56933000000001,102.63461892505892
2016,58.413715,102.36192524350199
2017,59.266936,103.85707658284386
2018,59.534549,104.32603120934192
2019,59.841981999999994,104.86476485713996
2020,61.26845,107.36445197305527
