,year,value
0,1990,0.644
1,1995,0.793
2,2000,0.836
3,2005,0.867
4,2010,0.896
5,2011,0.872
6,2012,0.866
7,2013,0.912
8,2014,0.92
9,2015,0.911
10,2016,0.911
11,2017,0.913
12,2018,0.918
13,2019,0.927
