DATE,SPASTT01USQ661N
1960-01-01,3.29321512602556
1960-04-01,3.26524331011934
1960-07-01,3.21116446603398
1960-10-01,3.11606029195283
1961-01-01,3.39391366328794
1961-04-01,3.59531073781272
1961-07-01,3.68109097325846
1961-10-01,3.74635854370631
1962-01-01,3.70160363825636
1962-04-01,3.31186300329637
1962-07-01,3.09368283922786
1962-10-01,3.22794755557771
1963-01-01,3.51885444100239
1963-04-01,3.72957545416258
1963-07-01,3.74076418052506
1963-10-01,3.90859507596238
1964-01-01,4.13982875412046
1964-04-01,4.27782304592448
1964-07-01,4.41048206912457
1964-10-01,4.52636493507732
1965-01-01,4.61682620365581
1965-04-01,4.65413322317906
1965-07-01,4.61352469750331
1965-10-01,4.8895306118523
1966-01-01,4.92525949884872
1966-04-01,4.72310357460567
1966-07-01,4.36354522535449
1966-10-01,4.27092415016463
1967-01-01,4.71511080370677
1967-04-01,4.99978508440637
1967-07-01,5.1946981211861
1967-10-01,5.20214093906198
1968-01-01,5.06349659532003
1968-04-01,5.43746446053582
1968-07-01,5.55404484533966
1968-10-01,5.87835576973958
1969-01-01,5.63935751660584
1969-04-01,5.62171297165662
1969-07-01,5.17802673887026
1969-10-01,5.21537153024766
1970-01-01,4.90991709916865
1970-04-01,4.30568539642594
1970-07-01,4.24257167872583
1970-10-01,4.65096810045191
1971-01-01,5.2684347619362
1971-04-01,5.54133523894886
1971-07-01,5.39742287353646
1971-10-01,5.27133632069161
1972-01-01,5.79648269078906
1972-04-01,5.95339035506918
1972-07-01,5.9527629349039
1972-10-01,6.18087068272641
1973-01-01,6.1415529080695
1973-04-01,5.62964052579878
1973-07-01,5.55098312621784
1973-10-01,5.42205699082891
1974-01-01,5.06872434431638
1974-04-01,4.74336931806031
1974-07-01,3.92211613858732
1974-10-01,3.63137282521706
1975-01-01,4.13902163001619
1975-04-01,4.68375510842481
1975-07-01,4.62864517260977
1975-10-01,4.66394702488742
1976-01-01,5.25048409783512
1976-04-01,5.36018559771126
1976-07-01,5.51758339916667
1976-10-01,5.44475546603991
1977-01-01,5.47565288638782
1977-04-01,5.35347783418554
1977-07-01,5.31820931457001
1977-10-01,5.11885608747225
1978-01-01,4.91178956310236
1978-04-01,5.31698546546704
1978-07-01,5.6683921821686
1978-10-01,5.37479847819242
1979-01-01,5.51380901917463
1979-04-01,5.65523174036176
1979-07-01,5.99025371316396
1979-10-01,5.94326340092742
1980-01-01,6.25429016836319
1980-04-01,6.1159385195484
1980-07-01,7.01623584115021
1980-10-01,7.59239623191378
1981-01-01,7.46739974484607
1981-04-01,7.6148632859786
1981-07-01,7.21570085769869
1981-10-01,7.02135554386919
1982-01-01,6.53391445865487
1982-04-01,6.5073246534794
1982-07-01,6.46794715038831
1982-10-01,7.79516083860195
1983-01-01,8.43388681723964
1983-04-01,9.29701092466528
1983-07-01,9.48726762549972
1983-10-01,9.47772414747978
1984-01-01,9.1608727431888
1984-04-01,8.88044389228214
1984-07-01,9.13958154194079
1984-10-01,9.43276044986138
1985-01-01,10.1593771159739
1985-04-01,10.6028861427504
1985-07-01,10.8057990527805
1985-10-01,11.2508433644291
1986-01-01,12.561868839393
1986-04-01,13.7140794298888
1986-07-01,13.7420042617231
1986-10-01,13.8544371573798
1987-01-01,15.7736371266602
1987-04-01,16.3882237081486
1987-07-01,17.7232290692532
1987-10-01,14.168711909738
1988-01-01,14.37785963537
1988-04-01,14.728279137709
1988-07-01,14.9485432827443
1988-10-01,15.3294983039429
1989-01-01,16.1777583449117
1989-04-01,17.344423559889
1989-07-01,18.8499825032402
1989-10-01,18.9334438958723
1990-01-01,18.3633041044255
1990-04-01,18.9358994769079
1990-07-01,18.1992215916479
1990-10-01,17.1597724125626
1991-01-01,19.1214738487518
1991-04-01,20.5310623291436
1991-07-01,20.9342485595104
1991-10-01,21.1468332956362
1992-01-01,22.5349993139597
1992-04-01,22.3753196659116
1992-07-01,22.7232045435069
1992-10-01,23.0834683513756
1993-01-01,24.1370869401181
1993-04-01,24.3583598157385
1993-07-01,24.9109464468653
1993-10-01,25.4570033727584
1994-01-01,25.7940064551789
1994-04-01,24.7162051995768
1994-07-01,25.1862573776651
1994-10-01,24.9673468346693
1995-01-01,25.8218509726865
1995-04-01,27.9168338091909
1995-07-01,29.9940771883554
1995-10-01,31.598995380974
1996-01-01,33.7501146007331
1996-04-01,35.012733386
1996-07-01,35.0262134960599
1996-10-01,38.0906486569766
1997-01-01,40.8953395493737
1997-04-01,42.6306084904475
1997-07-01,47.9378593044472
1997-10-01,49.3829458337216
1998-01-01,52.716779219425
1998-04-01,56.8525653677793
1998-07-01,53.8764414222248
1998-10-01,54.5235067821212
1999-01-01,59.0166760121124
1999-04-01,62.4850424603544
1999-07-01,61.9842791183531
1999-10-01,61.7766665808141
2000-01-01,61.4715229267807
2000-04-01,63.8960315650351
2000-07-01,65.5851424427312
2000-10-01,63.9542552372817
2001-01-01,62.7869408517733
2001-04-01,62.1329625749786
2001-07-01,58.4199468993865
2001-10-01,56.5962815834154
2002-01-01,57.8407696513869
2002-04-01,56.3731584812456
2002-07-01,47.9089662738208
2002-10-01,46.9807904027408
2003-01-01,45.3238040069438
2003-04-01,49.4291504541837
2003-07-01,52.7378472132792
2003-10-01,56.6191964227875
2004-01-01,61.818273772702
2004-04-01,60.9664911059048
2004-07-01,60.4114774623657
2004-10-01,64.5741422271632
2005-01-01,67.3414993204376
2005-04-01,66.8560106731952
2005-07-01,70.0787611750817
2005-10-01,71.041777592128
2006-01-01,75.6072627553158
2006-04-01,77.0465269579505
