date,wind
2021-09-21,5.88
2021-09-22,7.34
2021-09-23,6.74
2021-09-24,7.59
2021-09-25,7.1
2021-09-26,6.07
2021-09-27,6.98
2021-09-28,4.84
2021-09-29,6.36
2021-09-30,7.41
2021-10-01,6.33
2021-10-02,6.49
2021-10-03,6.12
2021-10-04,5.9
2021-10-05,6.68
2021-10-06,6.06
2021-10-07,5.38
2021-10-08,4.7
2021-10-09,6.61
2021-10-10,5.62
2021-10-11,6.35
2021-10-12,6.66
2021-10-13,3.97
2021-10-14,4.94
2021-10-15,6.66
2021-10-16,5.48
2021-10-17,5.07
2021-10-18,6.09
2021-10-19,5.75
2021-10-20,5.18
2021-10-21,3.05
2021-10-22,1.41
2021-10-23,1.5
2021-10-24,2.99
2021-10-25,2.98
2021-10-26,5.52
2021-10-27,5.54
2021-10-28,3.12
2021-10-29,1.66
2021-10-30,0.78
2021-10-31,1.77
2021-11-01,2.7
2021-11-02,2.89
2021-11-03,3.24
2021-11-04,3.34
2021-11-05,3.83
2021-11-06,2.96
2021-11-07,1.54
2021-11-08,1.64
2021-11-09,1.05
2021-11-10,2.52
2021-11-11,2.22
2021-11-12,1.03
2021-11-13,2.91
2021-11-14,3.7
2021-11-15,3.89
2021-11-16,3.16
2021-11-17,3.05
2021-11-18,2.21
2021-11-19,3.2
2021-11-20,2.98
2021-11-21,1.6
2021-11-22,2.66
2021-11-23,3.47
2021-11-24,2.6
2021-11-25,1.62
2021-11-26,2.69
2021-11-27,2.73
2021-11-28,3.55
2021-11-29,3.39
2021-11-30,3.2
2021-12-01,4.3
2021-12-02,3.9
2021-12-03,3.16
2021-12-04,3.05
2021-12-05,3.25
2021-12-06,3.66
2021-12-07,3.63
2021-12-08,4.28
2021-12-09,4.07
2021-12-10,2.7
2021-12-11,0.93
2021-12-12,1.1
2021-12-13,3.27
2021-12-14,4.09
2021-12-15,2.48
2021-12-16,2.11
2021-12-17,1.71
2021-12-18,2.8
2021-12-19,3.41
2021-12-20,2.76
2021-12-21,2.79
2021-12-22,2.12
2021-12-23,3.17
2021-12-24,1.76
2021-12-25,2.3
2021-12-26,3.74
2021-12-27,3.73
2021-12-28,6.07
2021-12-29,5.79
2021-12-30,6.08
2021-12-31,5.98
2022-01-01,5.89
2022-01-02,3.9
2022-01-03,4.25
2022-01-04,5.3
2022-01-05,4.95
2022-01-06,5.24
2022-01-07,4.83
2022-01-08,5.71
