,year,value
0,1990,0.666
1,1995,0.741
2,2000,0.803
3,2005,0.895
4,2010,0.897
5,2011,0.901
6,2012,0.904
7,2013,0.925
8,2014,0.921
9,2015,0.923
10,2016,0.924
11,2017,0.926
12,2018,0.927
13,2019,0.927
