numdate,Volume,polarity
2021-09-29,132200.0,0.1065961
2021-09-30,158700.0,0.1279748
2021-10-01,63400.0,0.0937414
2021-10-04,106300.0,0.105929
2021-10-05,149300.0,0.0872313
2021-10-06,161700.0,0.07421080000000001
2021-10-07,154200.0,0.1050018
2021-10-08,145600.0,0.0868447
2021-10-11,147900.0,0.1026454
2021-10-12,107300.0,0.0965048
2021-10-13,106500.0,0.1151265
2021-10-14,86200.0,0.13943270000000002
2021-10-15,127200.0,0.1023033
2021-10-18,86600.0,0.1210424
2021-10-19,75100.0,0.13975839999999998
2021-10-20,109500.0,0.1032295
2021-10-21,139200.0,0.0746964
2021-10-22,105700.0,0.1100472
2021-10-25,107000.0,0.0875427
2021-10-26,93300.0,0.08879930000000001
2021-10-27,109600.0,0.1055801
2021-10-28,74000.0,0.0916558
2021-10-29,148200.0,0.1150062
2021-11-01,65500.0,0.08586139999999999
2021-11-02,85600.0,0.1019358
2021-11-03,104100.0,0.1195588
2021-11-04,102200.0,0.1015134
2021-11-05,101200.0,0.07992769999999999
2021-11-08,94400.0,0.1208331
2021-11-09,73200.0,0.1163919
2021-11-10,76900.0,0.095793
2021-11-11,48300.0,0.0985144
2021-11-12,64100.0,0.0892575
2021-11-15,172700.0,0.0878119
2021-11-16,68300.0,0.1018986
2021-11-17,78700.0,0.1315417
2021-11-18,83200.0,0.1306182
2021-11-19,97100.0,0.1022547
2021-11-22,107900.0,0.1203646
2021-11-23,134400.0,0.08999810000000001
2021-11-24,68700.0,0.0952371
2021-11-26,200700.0,0.07683839999999999
2021-11-29,152000.0,0.1287169
2021-11-30,189300.0,0.1055282
2021-12-01,125800.0,0.1565396
2021-12-02,192900.0,0.0940931
2021-12-03,271600.0,0.0932591
2021-12-06,320700.0,0.1215485
2021-12-07,143900.0,0.1049721
2021-12-08,59300.0,0.0977848
2021-12-09,81100.0,0.1166739
2021-12-10,54400.0,0.09060139999999997
2021-12-13,88000.0,0.1157094
2021-12-14,104400.0,0.1055998
2021-12-15,111800.0,0.1022117
2021-12-16,84400.0,0.1307998
2021-12-17,107300.0,0.1285166
2021-12-20,106900.0,0.075725
2021-12-21,109300.0,0.097996
2021-12-22,59300.0,0.0935164
2021-12-23,91200.0,0.094066
2021-12-27,62000.0,0.12179489999999997
2021-12-28,89600.0,0.0950487
2021-12-29,142000.0,0.1143165
2021-12-30,155700.0,0.08782039999999999
2021-12-31,52600.0,0.114764
