Year,Median
2005,27,569
2006,27,872
2007,27,850
2008,28,269
2009	27,940
2010	27,977
2011	27,938
2012	27,283
2013	26,658
2014	27,343
2015	28,530
2016	29,029
2017	29,812
2018	29,099
2019	29,931
2020	29,897
